PMC5142738.txt,2,3,"p_DEXA4I:1 l_51123:2 "
Astrobiology_2016_Nov_1_16(11)_831-845.txt,4,15,"l_50902:7 l_50971:1 l_51123:6 p_KCL20P:1 "
BMJ_Open_Diabetes_Res_Care_2015_Apr_28_3(1)_e000065.txt,5,20,"p_INSULIN:3 l_50931:4 d_E8888:1 l_51222:2 l_51123:10 "
Best_Pract_Res_Clin_Obstet_Gynaecol_2011_Jun_25(3)_287-299.txt,16,34,"p_FERR300L:1 p_SULF500:2 p_NIFR150:2 p_MVI10I:1 p_ZINC220:2 l_50998:1 l_50952:2 l_50931:1 l_51007:1 l_51259:1 d_E8888:1 l_51434:4 l_50970:4 l_51123:9 l_51244:1 l_51254:1 "
Best_Pract_Res_Clin_Obstet_Gynaecol_2016_Oct_36_83-102.txt,31,106,"d_7910:12 p_MAG2PM:11 l_51080:1 p_FOLI1:1 p_FOLI5I:1 d_99709:1 d_78659:2 l_50967:1 p_LISI5:1 p_WARF5:1 d_E8888:2 l_50862:2 l_50960:11 d_77981:1 d_7840:1 p_LABE200:11 p_NIFR150:1 p_PHENY100L:1 d_34839:1 l_50912:7 l_50813:1 l_50954:1 l_50952:1 p_ASAEC325:1 l_51007:2 d_78001:1 p_NIFE10:6 l_51123:10 l_51265:3 p_ALBU5500:2 p_CALG1I:8 "
Astrobiology_2016_Oct_1_16(10)_755-774.txt,7,21,"p_SODI65S:8 l_50866:1 l_50931:1 l_51434:1 l_50970:2 l_51279:1 l_51123:7 "
BMJ_Open_Diabetes_Res_Care_2015_Jul_16_3(1)_e000100.txt,5,67,"p_INSULIN:44 l_50931:8 d_78321:1 l_51123:11 l_51000:3 "
BMJ_Open_Diabetes_Res_Care_2015_Nov_26_3(1)_e000118.txt,1,7,"l_51123:7 "
BMJ_Open_Diabetes_Res_Care_2015_Oct_1_3(1)_e000075.txt,6,27,"p_INSULIN:2 p_METF500:3 p_ASAEC325:1 l_50931:6 l_51123:13 l_51222:2 "
PMC5273402.txt,4,10,"d_E8888:1 l_50971:1 l_51123:7 p_KCL20P:1 "
