Angiogenesis_2016_Jun_23_19(4)_463-486.txt,18,31,"p_ISMO10:1 d_7101:2 l_50957:1 p_HEPA5I:2 l_50922:1 p_STLTP:1 l_50931:1 l_51259:4 l_50983:1 p_NABC50I:1 l_51434:1 d_340:1 l_51279:1 l_50970:1 l_51256:1 l_51123:8 l_51255:1 l_51254:2 "
Astrobiology_2015_Oct_1_15(10)_779-786.txt,1,2,"l_51123:2 "
PMC5306362.txt,4,6,"p_HEPA5I:1 l_50931:1 l_50970:2 l_51123:2 "
Astrobiology_2015_Jul_1_15(7)_587-600.txt,9,36,"p_SODI65S:6 l_50866:2 l_50952:4 p_MAG2PM:1 d_27651:1 l_50960:1 p_DEXA4I:1 l_51123:16 p_NIFR150:4 "
Astrobiology_2015_Mar_1_15(3)_247-258.txt,12,51,"p_MAAL30L:2 l_50952:8 p_MAG2PM:3 l_50983:3 p_NABC50I:3 p_CAL1250:1 l_50882:1 l_50971:3 l_50960:3 l_51123:13 p_NIFR150:8 p_KCL20P:3 "
Astrobiology_2015_Nov_1_15(11)_977-986.txt,4,15,"p_ARTTS:1 l_50922:4 l_51123:9 p_DEXA4I:1 "
Astrobiology_2016_Jun_1_16(6)_407-417.txt,7,26,"l_50922:1 l_50952:2 d_E8888:3 p_DEXA4I:3 l_51123:5 l_51144:10 p_NIFR150:2 "
Astrobiology_2015_May_1_15(5)_381-399.txt,8,34,"p_SODI65S:9 l_50952:2 d_27651:1 d_E8888:2 l_50882:1 p_DEXA4I:3 l_51123:14 p_NIFR150:2 "
Best_Pract_Res_Clin_Obstet_Gynaecol_2016_Jul_34_54-65.txt,10,21,"d_7830:1 l_51140:1 p_DOPA400I:1 l_50952:1 d_E8888:2 l_50973:1 d_78321:1 p_DEXA4I:2 l_51123:10 p_NIFR150:1 "
Best_Pract_Res_Clin_Obstet_Gynaecol_2011_Aug_25(4-4)_405-417.txt,6,14,"p_INSULIN:1 l_50956:1 d_7910:1 d_E8888:1 l_51123:9 l_51265:1 "
